Type d'acte;Année;Arrondissement;Nombres
Naissances;2017;12ème arrdt;8871
Naissances;2018;13ème arrdt;3077
Naissances;2022;13ème arrdt;2412
Naissances;2023;3ème arrdt;1
Naissances;2023;18ème arrdt;1814
Reconnaissances;2006;1er arrdt;74
Reconnaissances;2006;3ème arrdt;183
Reconnaissances;2007;12ème arrdt;885
Reconnaissances;2007;17ème arrdt;659
Reconnaissances;2008;1er arrdt;54
Reconnaissances;2009;11ème arrdt;792
Reconnaissances;2013;8ème arrdt;115
Reconnaissances;2013;12ème arrdt;844
Reconnaissances;2014;8ème arrdt;106
Reconnaissances;2014;18ème arrdt;1332
Reconnaissances;2015;15ème arrdt;917
Reconnaissances;2017;18ème arrdt;1206
Reconnaissances;2018;8ème arrdt;133
Reconnaissances;2018;19ème arrdt;789
Reconnaissances;2019;7ème arrdt;76
Reconnaissances;2023;4ème arrdt;1
Reconnaissances;2023;18ème arrdt;966
Mariages;2004;13ème arrdt;806
Mariages;2004;15ème arrdt;1057
Mariages;2006;8ème arrdt;237
Mariages;2007;20ème arrdt;797
Mariages;2008;8ème arrdt;214
Mariages;2009;16ème arrdt;750
Mariages;2010;8ème arrdt;231
Mariages;2010;18ème arrdt;744
Mariages;2012;2ème arrdt;111
Mariages;2012;5ème arrdt;280
Mariages;2013;18ème arrdt;746
Mariages;2014;7ème arrdt;287
Mariages;2015;4ème arrdt;133
Mariages;2015;7ème arrdt;281
Mariages;2016;9ème arrdt;314
Mariages;2016;15ème arrdt;876
Mariages;2018;2ème arrdt;122
Mariages;2018;11ème arrdt;626
Mariages;2018;18ème arrdt;804
Mariages;2020;3ème arrdt;208
Mariages;2020;10ème arrdt;230
Mariages;2022;15ème arrdt;979
Mariages;2022;16ème arrdt;827
Mariages;2023;17ème arrdt;445
Décès;2004;3ème arrdt;56
Décès;2008;17ème arrdt;344
Décès;2008;18ème arrdt;1449
Décès;2008;20ème arrdt;1249
Décès;2009;16ème arrdt;936
Décès;2010;12ème arrdt;1639
Décès;2010;19ème arrdt;858
Décès;2011;5ème arrdt;641
Décès;2012;5ème arrdt;678
Décès;2014;4ème arrdt;55
Décès;2014;17ème arrdt;346
Décès;2015;12ème arrdt;1637
Décès;2017;12ème arrdt;1518
Décès;2019;4ème arrdt;53
Décès;2021;2ème arrdt;28
Décès;2021;11ème arrdt;332
Décès;2022;1er arrdt;31
Décès;2022;4ème arrdt;48
Décès;2022;5ème arrdt;262
Décès;2023;9ème arrdt;78
Décès;2023;16ème arrdt;923
PACS;2018;3ème arrdt;182
PACS;2018;15ème arrdt;1002
PACS;2020;18ème arrdt;798
PACS;2021;1er arrdt;65
PACS;2021;5ème arrdt;219
PACS;2021;12ème arrdt;646
PACS;2021;19ème arrdt;590
PACS;2022;4ème arrdt;127
PACS;2022;8ème arrdt;116
PACS;2023;10ème arrdt;436
Changements de prénom;2017;15ème arrdt;76
Changements de prénom;2017;16ème arrdt;54
Changements de prénom;2018;8ème arrdt;13
Changements de prénom;2018;17ème arrdt;57
Changements de prénom;2019;4ème arrdt;7
Changements de prénom;2020;10ème arrdt;41
Changements de prénom;2020;16ème arrdt;39
Changements de prénom;2021;9ème arrdt;23
Changements de prénom;2023;12ème arrdt;129
Changements de nom (personne majeure);2023;10ème arrdt;97
Naissances;2004;3ème arrdt;4
Naissances;2004;19ème arrdt;2649
Naissances;2006;9ème arrdt;3
Naissances;2007;5ème arrdt;2
Naissances;2007;13ème arrdt;3288
Naissances;2009;7ème arrdt;3
Naissances;2009;20ème arrdt;2279
Naissances;2010;8ème arrdt;2
Naissances;2011;3ème arrdt;5
Naissances;2011;6ème arrdt;1
Naissances;2014;4ème arrdt;1
Naissances;2016;15ème arrdt;5830
Naissances;2016;16ème arrdt;1283
Naissances;2019;11ème arrdt;8
Naissances;2021;13ème arrdt;2798
Naissances;2021;17ème arrdt;1281
Naissances;2023;8ème arrdt;1
Naissances;2023;10ème arrdt;2310
Reconnaissances;2004;7ème arrdt;154
Reconnaissances;2005;2ème arrdt;115
Reconnaissances;2005;11ème arrdt;1445
Reconnaissances;2006;19ème arrdt;1579
Reconnaissances;2008;19ème arrdt;1074
Reconnaissances;2008;20ème arrdt;1020
Reconnaissances;2010;9ème arrdt;251
Reconnaissances;2011;2ème arrdt;116
Reconnaissances;2012;12ème arrdt;774
Reconnaissances;2014;20ème arrdt;980
Reconnaissances;2015;13ème arrdt;913
