Type d'acte;Année;Arrondissement;Nombres
Décès;2020;18ème arrdt;1787
Décès;2021;17ème arrdt;429
Décès;2023;2ème arrdt;27
Décès;2023;12ème arrdt;1568
PACS;2019;6ème arrdt;133
PACS;2019;18ème arrdt;935
PACS;2020;6ème arrdt;107
PACS;2021;8ème arrdt;117
PACS;2021;17ème arrdt;728
PACS;2022;6ème arrdt;98
PACS;2022;12ème arrdt;615
PACS;2022;14ème arrdt;458
PACS;2022;15ème arrdt;845
PACS;2023;9ème arrdt;222
PACS;2023;15ème arrdt;753
Changements de prénom;2019;8ème arrdt;11
Changements de prénom;2019;18ème arrdt;52
Changements de prénom;2020;2ème arrdt;5
Changements de prénom;2020;4ème arrdt;6
Changements de prénom;2022;8ème arrdt;12
Changements de prénom;2022;18ème arrdt;82
Changements de prénom;2023;16ème arrdt;59
Changements de prénom;2023;17ème arrdt;62
Changements de nom (personne majeure);2022;20ème arrdt;149
Changements de nom (personne majeure);2023;4ème arrdt;29
Naissances;2004;5ème arrdt;6
Naissances;2005;11ème arrdt;2776
Naissances;2006;6ème arrdt;4
Naissances;2007;12ème arrdt;9898
Naissances;2007;17ème arrdt;1823
Naissances;2008;20ème arrdt;2316
Naissances;2009;11ème arrdt;1255
Naissances;2011;13ème arrdt;3334
Naissances;2011;19ème arrdt;3014
Naissances;2012;5ème arrdt;3
Naissances;2012;20ème arrdt;2518
Naissances;2013;8ème arrdt;1
Naissances;2013;12ème arrdt;9157
Naissances;2015;6ème arrdt;0
Naissances;2017;3ème arrdt;2
Naissances;2017;10ème arrdt;2352
Naissances;2020;16ème arrdt;1100
Naissances;2021;8ème arrdt;2
Naissances;2022;4ème arrdt;1
Naissances;2022;9ème arrdt;5
Naissances;2023;19ème arrdt;2631
Reconnaissances;2004;11ème arrdt;1496
Reconnaissances;2004;20ème arrdt;1115
Reconnaissances;2006;18ème arrdt;1838
Reconnaissances;2007;6ème arrdt;72
Reconnaissances;2007;16ème arrdt;311
Reconnaissances;2008;5ème arrdt;162
Reconnaissances;2008;14ème arrdt;746
Reconnaissances;2008;17ème arrdt;583
Reconnaissances;2009;15ème arrdt;859
Reconnaissances;2010;10ème arrdt;546
Reconnaissances;2010;15ème arrdt;853
Reconnaissances;2012;15ème arrdt;874
Reconnaissances;2013;7ème arrdt;91
Reconnaissances;2015;3ème arrdt;136
Reconnaissances;2015;12ème arrdt;759
Reconnaissances;2016;8ème arrdt;113
Reconnaissances;2016;12ème arrdt;699
Reconnaissances;2017;9ème arrdt;232
Reconnaissances;2017;14ème arrdt;656
Reconnaissances;2018;14ème arrdt;651
Reconnaissances;2019;14ème arrdt;589
Reconnaissances;2019;15ème arrdt;762
Reconnaissances;2021;2ème arrdt;1
Reconnaissances;2021;19ème arrdt;597
Reconnaissances;2022;4ème arrdt;3
Reconnaissances;2023;20ème arrdt;637
Mariages;2005;5ème arrdt;290
Mariages;2007;19ème arrdt;924
Mariages;2008;7ème arrdt;271
Mariages;2009;5ème arrdt;293
Mariages;2009;18ème arrdt;756
Mariages;2011;1er arrdt;98
Mariages;2011;6ème arrdt;194
Mariages;2011;12ème arrdt;527
Mariages;2012;4ème arrdt;121
Mariages;2012;16ème arrdt;763
Mariages;2012;20ème arrdt;727
Mariages;2014;2ème arrdt;150
Mariages;2014;5ème arrdt;270
Mariages;2014;11ème arrdt;742
Mariages;2016;7ème arrdt;250
Mariages;2016;11ème arrdt;661
Mariages;2018;13ème arrdt;634
Mariages;2020;14ème arrdt;330
Mariages;2020;17ème arrdt;336
Mariages;2020;18ème arrdt;492
Mariages;2022;1er arrdt;0
Mariages;2022;4ème arrdt;0
Mariages;2022;20ème arrdt;615
Décès;2005;20ème arrdt;1363
Décès;2006;2ème arrdt;42
Décès;2007;3ème arrdt;55
Décès;2007;11ème arrdt;306
Décès;2009;1er arrdt;39
Décès;2010;4ème arrdt;295
Décès;2010;6ème arrdt;114
Décès;2011;15ème arrdt;3261
Décès;2015;14ème arrdt;2087
Décès;2017;17ème arrdt;373
Décès;2018;3ème arrdt;45
Décès;2019;14ème arrdt;2161
Décès;2021;18ème arrdt;1681
Décès;2022;7ème arrdt;180
Décès;2022;15ème arrdt;3525
Décès;2023;5ème arrdt;265
Décès;2023;17ème arrdt;403
Décès;2023;18ème arrdt;1441
PACS;2017;14ème arrdt;148
PACS;2018;2ème arrdt;120
PACS;2019;13ème arrdt;673
PACS;2023;7ème arrdt;102
Changements de prénom;2018;11ème arrdt;41
Changements de prénom;2018;12ème arrdt;72
Changements de prénom;2018;16ème arrdt;47
Changements de prénom;2018;18ème arrdt;73
Changements de prénom;2021;16ème arrdt;29
Changements de prénom;2023;19ème arrdt;104
Changements de nom (personne majeure);2022;15ème arrdt;201
Naissances;2004;7ème arrdt;0
Naissances;2006;15ème arrdt;4787
Naissances;2006;17ème arrdt;2047
Naissances;2006;19ème arrdt;3077
Naissances;2007;15ème arrdt;4773
Naissances;2008;6ème arrdt;0
Naissances;2008;10ème arrdt;2334
Naissances;2010;17ème arrdt;1586
Naissances;2010;19ème arrdt;2860
Naissances;2011;4ème arrdt;0
Naissances;2011;12ème arrdt;9551
Naissances;2012;6ème arrdt;0
Naissances;2013;2ème arrdt;0
Naissances;2013;17ème arrdt;1524
Naissances;2014;20ème arrdt;2608
Naissances;2015;3ème arrdt;0
Naissances;2015;7ème arrdt;0
Naissances;2018;11ème arrdt;6
Naissances;2020;9ème arrdt;6
Naissances;2020;10ème arrdt;2263
Naissances;2021;11ème arrdt;10
Naissances;2021;18ème arrdt;1996
Naissances;2022;2ème arrdt;1
Naissances;2022;5ème arrdt;2
Naissances;2022;10ème arrdt;2350
Naissances;2023;12ème arrdt;8758
Naissances;2023;20ème arrdt;2318
Reconnaissances;2008;15ème arrdt;867
Reconnaissances;2009;8ème arrdt;106
Reconnaissances;2009;10ème arrdt;657
Reconnaissances;2009;16ème arrdt;308
Reconnaissances;2011;3ème arrdt;164
Reconnaissances;2017;5ème arrdt;138
Reconnaissances;2019;3ème arrdt;115
Reconnaissances;2019;4ème arrdt;77
Reconnaissances;2020;2ème arrdt;38
Reconnaissances;2020;4ème arrdt;30
Reconnaissances;2020;12ème arrdt;590
Reconnaissances;2022;6ème arrdt;69
Reconnaissances;2023;2ème arrdt;0
Mariages;2005;17ème arrdt;602
Mariages;2006;5ème arrdt;289
Mariages;2006;9ème arrdt;355
Mariages;2007;10ème arrdt;442
Mariages;2008;9ème arrdt;293
Mariages;2009;9ème arrdt;295
Mariages;2010;4ème arrdt;126
Mariages;2010;19ème arrdt;932
Mariages;2011;9ème arrdt;252
Mariages;2012;17ème arrdt;503
Mariages;2013;14ème arrdt;593
Mariages;2014;1er arrdt;124
Mariages;2016;13ème arrdt;653
Mariages;2017;1er arrdt;101
Mariages;2017;3ème arrdt;244
Mariages;2017;14ème arrdt;536
Mariages;2019;4ème arrdt;139
Mariages;2019;13ème arrdt;612
Mariages;2019;17ème arrdt;505
Mariages;2020;7ème arrdt;197
Mariages;2021;9ème arrdt;223
Mariages;2023;1er arrdt;0
Mariages;2023;8ème arrdt;188
Mariages;2023;18ème arrdt;649
Décès;2004;2ème arrdt;53
Décès;2004;4ème arrdt;317
Décès;2004;14ème arrdt;2086
Décès;2006;13ème arrdt;1864
Décès;2006;16ème arrdt;859
Décès;2007;5ème arrdt;572
Décès;2007;10ème arrdt;1454
Décès;2007;14ème arrdt;1751
Décès;2008;2ème arrdt;39
Décès;2008;19ème arrdt;488
Décès;2009;9ème arrdt;91
Décès;2010;18ème arrdt;1392
Décès;2011;2ème arrdt;32
Décès;2011;6ème arrdt;96
Décès;2011;17ème arrdt;389
Décès;2014;14ème arrdt;1962
Décès;2015;15ème arrdt;3522
Décès;2016;10ème arrdt;1262
Décès;2016;11ème arrdt;234
Décès;2016;20ème arrdt;1047
Décès;2017;8ème arrdt;78
Décès;2017;11ème arrdt;283
Décès;2017;16ème arrdt;1121
Décès;2018;1er arrdt;34
Décès;2018;6ème arrdt;117
Décès;2018;8ème arrdt;86
Décès;2018;16ème arrdt;1012
Décès;2018;17ème arrdt;347
Décès;2019;19ème arrdt;1112
Décès;2020;19ème arrdt;1289
Décès;2022;11ème arrdt;338
Décès;2022;17ème arrdt;507
Décès;2023;6ème arrdt;96
Décès;2023;15ème arrdt;3418
PACS;2017;4ème arrdt;37
PACS;2017;15ème arrdt;326
PACS;2017;19ème arrdt;154
PACS;2018;7ème arrdt;109
PACS;2021;9ème arrdt;273
PACS;2023;11ème arrdt;756
PACS;2023;13ème arrdt;530
PACS;2023;19ème arrdt;511
Changements de prénom;2017;8ème arrdt;19
Changements de prénom;2019;3ème arrdt;15
Changements de prénom;2020;7ème arrdt;11
Changements de prénom;2021;2ème arrdt;9
Changements de prénom;2021;14ème arrdt;65
Changements de prénom;2021;15ème arrdt;102
Changements de prénom;2022;5ème arrdt;24
Changements de prénom;2023;3ème arrdt;17
Changements de prénom;2023;14ème arrdt;91
Changements de nom (personne majeure);2023;16ème arrdt;114
Naissances;2004;1er arrdt;7
Naissances;2004;12ème arrdt;8092
Naissances;2005;7ème arrdt;3
Naissances;2008;1er arrdt;4
Naissances;2008;12ème arrdt;10831
Naissances;2009;3ème arrdt;5
Naissances;2010;9ème arrdt;1
Naissances;2010;13ème arrdt;3264
Naissances;2013;18ème arrdt;2202
Naissances;2014;15ème arrdt;5960
Naissances;2015;4ème arrdt;1
Naissances;2016;10ème arrdt;2627
Naissances;2018;5ème arrdt;2
Naissances;2018;7ème arrdt;0
Naissances;2019;5ème arrdt;3
Naissances;2020;14ème arrdt;10384
Naissances;2020;17ème arrdt;1237
Naissances;2021;3ème arrdt;3
Naissances;2022;7ème arrdt;1
Naissances;2022;16ème arrdt;1152
Reconnaissances;2004;4ème arrdt;144
Reconnaissances;2004;8ème arrdt;140
Reconnaissances;2004;19ème arrdt;1579
Reconnaissances;2005;5ème arrdt;192
Reconnaissances;2005;18ème arrdt;2170
Reconnaissances;2006;2ème arrdt;101
Reconnaissances;2006;6ème arrdt;109
Reconnaissances;2008;12ème arrdt;865
Reconnaissances;2009;12ème arrdt;792
Reconnaissances;2009;13ème arrdt;922
Reconnaissances;2009;17ème arrdt;607
Reconnaissances;2010;4ème arrdt;104
Reconnaissances;2010;5ème arrdt;149
Reconnaissances;2010;6ème arrdt;91
Reconnaissances;2012;7ème arrdt;87
Reconnaissances;2012;18ème arrdt;1200
Reconnaissances;2013;1er arrdt;54
Reconnaissances;2013;3ème arrdt;141
Reconnaissances;2014;19ème arrdt;1041
Reconnaissances;2015;9ème arrdt;223
Reconnaissances;2016;3ème arrdt;133
Reconnaissances;2016;17ème arrdt;548
Reconnaissances;2016;18ème arrdt;1210
Reconnaissances;2018;3ème arrdt;116
Reconnaissances;2018;12ème arrdt;747
Reconnaissances;2019;10ème arrdt;589
Reconnaissances;2019;20ème arrdt;784
Reconnaissances;2020;5ème arrdt;99
Reconnaissances;2020;16ème arrdt;205
Reconnaissances;2021;1er arrdt;1
Reconnaissances;2022;20ème arrdt;723
Reconnaissances;2023;5ème arrdt;113
Reconnaissances;2023;12ème arrdt;575
Reconnaissances;2023;16ème arrdt;181
Reconnaissances;2023;17ème arrdt;351
Mariages;2004;5ème arrdt;336
Mariages;2005;7ème arrdt;284
Mariages;2005;13ème arrdt;866
Mariages;2006;1er arrdt;120
Mariages;2006;11ème arrdt;734
Mariages;2006;18ème arrdt;1079
Mariages;2010;16ème arrdt;747
Mariages;2013;8ème arrdt;212
Mariages;2014;20ème arrdt;787
Mariages;2015;1er arrdt;105
Mariages;2015;11ème arrdt;621
Mariages;2018;9ème arrdt;311
Mariages;2019;10ème arrdt;361
Mariages;2021;10ème arrdt;337
Mariages;2022;17ème arrdt;424
Décès;2006;18ème arrdt;1527
Décès;2007;19ème arrdt;455
Décès;2008;15ème arrdt;3397
Décès;2009;6ème arrdt;104
Décès;2009;17ème arrdt;359
Décès;2013;6ème arrdt;112
Décès;2014;9ème arrdt;104
Décès;2014;15ème arrdt;3415
Décès;2016;14ème arrdt;2195
Décès;2019;7ème arrdt;152
Décès;2020;6ème arrdt;127
Décès;2023;7ème arrdt;201
PACS;2017;8ème arrdt;52
PACS;2018;8ème arrdt;96
PACS;2018;14ème arrdt;568
PACS;2019;11ème arrdt;830
PACS;2020;10ème arrdt;451
PACS;2022;7ème arrdt;145
PACS;2022;10ème arrdt;446
PACS;2022;19ème arrdt;539
PACS;2023;4ème arrdt;93
Changements de prénom;2017;14ème arrdt;48
Changements de prénom;2019;7ème arrdt;13
Changements de prénom;2019;14ème arrdt;34
Changements de prénom;2020;1er arrdt;1
Changements de prénom;2021;19ème arrdt;96
Changements de prénom;2022;4ème arrdt;22
Changements de prénom;2022;15ème arrdt;116
Changements de prénom;2023;1er arrdt;9
Changements de prénom;2023;6ème arrdt;18
Changements de nom (personne majeure);2023;2ème arrdt;26
Changements de nom (personne majeure);2023;13ème arrdt;167
Naissances;2005;9ème arrdt;1
Naissances;2008;4ème arrdt;2
Naissances;2009;6ème arrdt;2
Naissances;2009;12ème arrdt;10904
Naissances;2009;18ème arrdt;2049
Naissances;2010;15ème arrdt;5471
Naissances;2011;20ème arrdt;2205
Naissances;2012;9ème arrdt;5
Naissances;2012;12ème arrdt;8859
Naissances;2013;19ème arrdt;3026
Naissances;2015;5ème arrdt;1
Naissances;2017;13ème arrdt;3018
Naissances;2018;1er arrdt;0
Naissances;2018;6ème arrdt;0
Naissances;2019;1er arrdt;1
Naissances;2022;8ème arrdt;2
Naissances;2022;15ème arrdt;6147
Reconnaissances;2005;12ème arrdt;1957
Reconnaissances;2006;16ème arrdt;449
Reconnaissances;2007;13ème arrdt;967
Reconnaissances;2008;7ème arrdt;121
Reconnaissances;2008;18ème arrdt;1317
Reconnaissances;2009;20ème arrdt;1033
Reconnaissances;2010;7ème arrdt;92
Reconnaissances;2010;11ème arrdt;781
Reconnaissances;2010;14ème arrdt;745
Reconnaissances;2011;5ème arrdt;154
Reconnaissances;2011;11ème arrdt;735
Reconnaissances;2011;16ème arrdt;293
Reconnaissances;2012;8ème arrdt;106
Reconnaissances;2012;9ème arrdt;215
Reconnaissances;2015;5ème arrdt;138
Reconnaissances;2015;14ème arrdt;720
Reconnaissances;2017;6ème arrdt;99
Reconnaissances;2020;9ème arrdt;151
Reconnaissances;2023;8ème arrdt;125
Reconnaissances;2023;11ème arrdt;460
Mariages;2004;12ème arrdt;626
Mariages;2008;4ème arrdt;127
Mariages;2008;17ème arrdt;551
Mariages;2008;19ème arrdt;882
Mariages;2009;20ème arrdt;762
Mariages;2011;10ème arrdt;389
Mariages;2011;16ème arrdt;664
Mariages;2012;13ème arrdt;665
Mariages;2012;18ème arrdt;669
Mariages;2014;13ème arrdt;669
Mariages;2015;3ème arrdt;262
Mariages;2016;2ème arrdt;137
Mariages;2016;3ème arrdt;259
Mariages;2016;10ème arrdt;381
Mariages;2017;7ème arrdt;297
Mariages;2017;10ème arrdt;384
Mariages;2019;8ème arrdt;211
Mariages;2021;7ème arrdt;289
Mariages;2021;16ème arrdt;777
Mariages;2022;3ème arrdt;449
Mariages;2022;12ème arrdt;569
Mariages;2022;14ème arrdt;471
Mariages;2023;6ème arrdt;202
Mariages;2023;11ème arrdt;553
Décès;2004;6ème arrdt;91
Décès;2005;14ème arrdt;2061
Décès;2006;17ème arrdt;382
Décès;2007;12ème arrdt;1528
Décès;2009;19ème arrdt;648
Décès;2009;20ème arrdt;1230
Décès;2010;14ème arrdt;1951
Décès;2011;12ème arrdt;1590
Décès;2012;8ème arrdt;112
Décès;2012;13ème arrdt;2054
Décès;2012;15ème arrdt;3306
Décès;2013;14ème arrdt;2023
Décès;2013;18ème arrdt;1399
Décès;2015;20ème arrdt;1146
Décès;2016;3ème arrdt;60
Décès;2016;7ème arrdt;179
Décès;2016;12ème arrdt;1567
Décès;2017;4ème arrdt;49
Décès;2017;9ème arrdt;88
Décès;2018;14ème arrdt;2191
Décès;2019;6ème arrdt;116
Décès;2020;13ème arrdt;2700
Décès;2021;9ème arrdt;98
Décès;2021;20ème arrdt;1270
Décès;2022;13ème arrdt;2362
Décès;2022;14ème arrdt;2418
Décès;2023;10ème arrdt;1368
PACS;2017;6ème arrdt;51
PACS;2017;11ème arrdt;123
PACS;2017;12ème arrdt;185
PACS;2018;11ème arrdt;825
PACS;2019;4ème arrdt;138
PACS;2019;9ème arrdt;270
PACS;2020;11ème arrdt;692
PACS;2021;4ème arrdt;124
PACS;2021;18ème arrdt;916
PACS;2022;2ème arrdt;122
Changements de prénom;2018;9ème arrdt;15
Changements de prénom;2018;19ème arrdt;87
Changements de prénom;2020;20ème arrdt;42
Changements de prénom;2022;1er arrdt;6
Changements de nom (personne majeure);2022;16ème arrdt;121
Changements de nom (personne majeure);2023;5ème arrdt;35
